buffer_size_gb,buffer_size_bytes,threads,read_ratio,duration,app_total_bandwidth_mbps,app_read_bandwidth_mbps,app_write_bandwidth_mbps,app_total_iops,app_execution_time,perf_cache_references_bandwidth_mbps,perf_cache_misses_bandwidth_mbps,perf_dram_read_bandwidth_mbps,perf_dram_write_bandwidth_mbps,perf_mem_loads_bandwidth_mbps,perf_mem_stores_bandwidth_mbps,perf_offcore_data_read_bandwidth_mbps,perf_offcore_rfo_bandwidth_mbps,perf_cache_miss_rate_pct,perf_l3_hit_rate_pct,perf_l3_miss_rate_pct,perf_instructions_per_cycle,status
64.0,68719476736,64,0.0,20,310741,0.0,310741.0,79549800.0,20.0002,5015.186946227079,3104.222243955105,0,0,51335.75806202103,29702.37503815841,2444.436611738169,71114.0388320129,61.896441293986236,52.779666568146574,47.220333431853426,0.11163039109938458,success
64.0,68719476736,64,0.5,20,153224,82810.8,70412.9,39225300.0,20.0001,36509.12547334266,35785.32410630548,0,0,35809.79889048454,21779.671769839053,20903.5470815141,16571.115918918913,98.01747821221937,8.138612390858798,91.8613876091412,0.07756817725661193,success
64.0,68719476736,64,1.0,20,180830,180830.0,0.0,46292600.0,20.0001,44042.54677439209,42741.864979534235,0,0,38193.10785369971,22952.22390188799,43125.41646057173,833.0223626559093,97.04676071181669,5.636396760053477,94.36360323994653,0.08722045782636746,success
