scheduler,threads,read_ratio,bandwidth_mbps,execution_time,array_size_gb,duration
scx_mitosis,172,0.25,132625.0,20.0001,32.0,20
scx_mitosis,172,0.35,200804.0,20.0001,32.0,20
scx_mitosis,172,0.45,45051.9,20.0007,32.0,20
scx_mitosis,172,0.5,120296.0,20.0001,32.0,20
scx_mitosis,172,0.55,215145.0,20.0001,32.0,20
scx_mitosis,172,0.65,223667.0,20.0001,32.0,20
scx_mitosis,172,0.75,252360.0,20.0001,32.0,20
scx_mitosis,172,0.85,253959.0,20.0001,32.0,20
scx_mitosis,172,0.95,264520.0,20.0001,32.0,20
scx_mitosis,172,1.0,272299.0,20.0001,32.0,20
scx_nest,172,0.0,120954.0,20.0001,32.0,20
scx_nest,172,0.15,149926.0,20.0001,32.0,20
scx_nest,172,0.25,104887.0,20.0001,32.0,20
scx_nest,172,0.35,149522.0,20.0001,32.0,20
scx_nest,172,0.45,141290.0,20.0001,32.0,20
scx_nest,172,0.5,179770.0,20.0001,32.0,20
scx_nest,172,0.55,202025.0,20.0001,32.0,20
scx_nest,172,0.65,205286.0,20.0001,32.0,20
scx_nest,172,0.75,200556.0,20.0001,32.0,20
scx_nest,172,0.85,240471.0,20.0001,32.0,20
scx_nest,172,0.95,246766.0,20.0001,32.0,20
scx_nest,172,1.0,254639.0,20.0001,32.0,20
scx_p2dq,172,0.0,44992.1,20.0001,32.0,20
scx_p2dq,172,0.15,50424.2,20.0001,32.0,20
scx_p2dq,172,0.25,50842.7,20.0001,32.0,20
scx_p2dq,172,0.35,66743.4,20.0001,32.0,20
scx_p2dq,172,0.45,62065.0,20.0001,32.0,20
scx_p2dq,172,0.5,74234.4,20.0001,32.0,20
scx_p2dq,172,0.55,71094.1,20.0001,32.0,20
scx_p2dq,172,0.65,83689.4,20.0001,32.0,20
scx_p2dq,172,0.75,163054.0,20.0001,32.0,20
scx_p2dq,172,0.85,309265.0,20.0001,32.0,20
scx_p2dq,172,0.95,374443.0,20.0001,32.0,20
scx_p2dq,172,1.0,508592.0,20.0001,32.0,20
scx_pair,172,0.0,93307.7,20.0001,32.0,20
scx_pair,172,0.15,87449.8,20.0001,32.0,20
scx_pair,172,0.25,82202.3,20.0001,32.0,20
scx_pair,172,0.35,87178.6,20.0001,32.0,20
scx_pair,172,0.45,104844.0,20.0001,32.0,20
scx_pair,172,0.5,86743.3,20.0001,32.0,20
scx_pair,172,0.55,90244.7,20.0001,32.0,20
scx_pair,172,0.65,107746.0,20.0001,32.0,20
scx_pair,172,0.75,146491.0,20.0001,32.0,20
scx_pair,172,0.85,100679.0,20.0001,32.0,20
scx_pair,172,0.95,106524.0,20.0001,32.0,20
scx_pair,172,1.0,103433.0,20.0001,32.0,20
scx_prev,172,0.0,118401.0,20.0001,32.0,20
scx_prev,172,0.15,148964.0,20.0001,32.0,20
scx_prev,172,0.25,143222.0,20.0001,32.0,20
scx_prev,172,0.35,157336.0,20.0001,32.0,20
scx_prev,172,0.45,213566.0,20.0001,32.0,20
scx_prev,172,0.5,226616.0,20.0001,32.0,20
scx_prev,172,0.55,218119.0,20.0001,32.0,20
scx_prev,172,0.65,224838.0,20.0001,32.0,20
scx_prev,172,0.75,243221.0,20.0001,32.0,20
scx_prev,172,0.85,257964.0,20.0001,32.0,20
scx_prev,172,0.95,273681.0,20.0001,32.0,20
scx_prev,172,1.0,276326.0,20.0001,32.0,20
scx_qmap,172,0.0,119575.0,20.0001,32.0,20
scx_qmap,172,0.15,125888.0,20.0001,32.0,20
scx_qmap,172,0.25,73984.2,20.0001,32.0,20
scx_qmap,172,0.35,139701.0,20.0001,32.0,20
scx_qmap,172,0.45,82968.1,20.0001,32.0,20
scx_qmap,172,0.5,180037.0,20.0001,32.0,20
scx_qmap,172,0.55,162134.0,20.0001,32.0,20
scx_qmap,172,0.65,171191.0,20.0001,32.0,20
scx_qmap,172,0.75,236996.0,20.0001,32.0,20
scx_qmap,172,0.85,198681.0,20.0001,32.0,20
scx_qmap,172,0.95,248919.0,20.0001,32.0,20
scx_qmap,172,1.0,261344.0,20.0001,32.0,20
scx_rlfifo,172,0.0,74914.9,20.0014,32.0,20
scx_rlfifo,172,0.15,73947.5,20.0005,32.0,20
scx_rlfifo,172,0.25,75841.1,20.0001,32.0,20
scx_rlfifo,172,0.35,86772.2,20.0007,32.0,20
scx_rlfifo,172,0.45,86782.5,20.0006,32.0,20
scx_rlfifo,172,0.5,82842.1,20.0002,32.0,20
scx_rlfifo,172,0.55,86702.4,20.0001,32.0,20
scx_rlfifo,172,0.65,93378.8,20.0002,32.0,20
scx_rlfifo,172,0.75,99036.1,20.0002,32.0,20
scx_rlfifo,172,0.85,113705.0,20.0008,32.0,20
scx_rlfifo,172,0.95,162798.0,20.0009,32.0,20
scx_rlfifo,172,1.0,155377.0,20.0001,32.0,20
scx_rustland,172,0.0,151152.0,20.0008,32.0,20
scx_rustland,172,0.15,163669.0,20.0006,32.0,20
scx_rustland,172,0.25,206623.0,20.0008,32.0,20
scx_rustland,172,0.35,195438.0,20.0007,32.0,20
scx_rustland,172,0.45,221675.0,20.0008,32.0,20
scx_rustland,172,0.5,287661.0,20.002,32.0,20
scx_rustland,172,0.55,283771.0,20.0006,32.0,20
scx_rustland,172,0.65,402652.0,20.0007,32.0,20
scx_rustland,172,0.75,379188.0,20.0014,32.0,20
scx_rustland,172,0.85,434150.0,20.0004,32.0,20
scx_rustland,172,0.95,527520.0,20.0005,32.0,20
scx_rustland,172,1.0,565380.0,20.0017,32.0,20
scx_rusty,172,0.0,48614.5,20.0001,32.0,20
scx_rusty,172,0.15,55964.5,20.0001,32.0,20
scx_rusty,172,0.25,57021.7,20.0006,32.0,20
scx_rusty,172,0.35,61982.3,20.0007,32.0,20
scx_rusty,172,0.45,71113.7,20.0019,32.0,20
scx_rusty,172,0.5,69274.0,20.0018,32.0,20
scx_rusty,172,0.55,70367.5,20.0001,32.0,20
scx_rusty,172,0.65,76477.6,20.0009,32.0,20
scx_rusty,172,0.75,92366.6,20.0001,32.0,20
scx_rusty,172,0.85,90156.9,20.0001,32.0,20
scx_rusty,172,0.95,103736.0,20.0001,32.0,20
scx_rusty,172,1.0,101106.0,20.0001,32.0,20
scx_sdt,172,0.0,117276.0,20.0001,32.0,20
scx_sdt,172,0.15,150586.0,20.0001,32.0,20
scx_sdt,172,0.25,197029.0,20.0001,32.0,20
scx_sdt,172,0.35,210462.0,20.0001,32.0,20
scx_sdt,172,0.45,223609.0,20.0001,32.0,20
scx_sdt,172,0.5,191260.0,20.0001,32.0,20
scx_sdt,172,0.55,204053.0,20.0001,32.0,20
scx_sdt,172,0.65,217617.0,20.0001,32.0,20
scx_sdt,172,0.75,241077.0,20.0001,32.0,20
scx_sdt,172,0.85,264549.0,20.0001,32.0,20
scx_sdt,172,0.95,268577.0,20.0001,32.0,20
scx_sdt,172,1.0,274655.0,20.0001,32.0,20
scx_simple,172,0.0,119891.0,20.0001,32.0,20
scx_simple,172,0.15,97575.9,20.0001,32.0,20
scx_simple,172,0.25,110106.0,20.0001,32.0,20
scx_simple,172,0.35,146126.0,20.0001,32.0,20
scx_simple,172,0.45,166660.0,20.0001,32.0,20
scx_simple,172,0.5,175389.0,20.0001,32.0,20
scx_simple,172,0.55,163991.0,20.0001,32.0,20
scx_simple,172,0.65,208200.0,20.0001,32.0,20
scx_simple,172,0.75,205844.0,20.0001,32.0,20
scx_simple,172,0.85,229914.0,20.0001,32.0,20
scx_simple,172,0.95,244611.0,20.0001,32.0,20
scx_simple,172,1.0,263323.0,20.0001,32.0,20
scx_tickless,172,0.0,123126.0,20.0001,32.0,20
scx_tickless,172,0.15,86596.3,20.0007,32.0,20
scx_tickless,172,0.25,84731.9,20.0002,32.0,20
scx_tickless,172,0.35,88121.3,20.0002,32.0,20
scx_tickless,172,0.45,85082.9,20.0001,32.0,20
scx_tickless,172,0.5,79685.8,20.0002,32.0,20
scx_tickless,172,0.55,95291.2,20.0002,32.0,20
scx_tickless,172,0.65,100833.0,20.0004,32.0,20
scx_tickless,172,0.75,101021.0,20.0001,32.0,20
scx_tickless,172,0.85,120764.0,20.0001,32.0,20
scx_tickless,172,0.95,130241.0,20.0001,32.0,20
scx_tickless,172,1.0,108570.0,20.0001,32.0,20
scx_userland,172,0.0,116323.0,20.0001,32.0,20
scx_userland,172,0.15,148576.0,20.0001,32.0,20
scx_userland,172,0.25,157162.0,20.0001,32.0,20
scx_userland,172,0.35,201651.0,20.0001,32.0,20
scx_userland,172,0.45,224971.0,20.0001,32.0,20
scx_userland,172,0.5,173858.0,20.0001,32.0,20
scx_userland,172,0.55,198833.0,20.0001,32.0,20
scx_userland,172,0.65,202850.0,20.0001,32.0,20
scx_userland,172,0.75,224812.0,20.0001,32.0,20
scx_userland,172,0.85,239314.0,20.0001,32.0,20
scx_userland,172,0.95,263352.0,20.0001,32.0,20
scx_userland,172,1.0,275405.0,20.0001,32.0,20
