scheduler,threads,read_ratio,bandwidth_mbps,execution_time,array_size_gb,duration
scx_mitosis,172,0.25,44215.7,20.0001,32.0,20
scx_mitosis,172,0.35,45874.9,20.0001,32.0,20
scx_mitosis,172,0.45,46858.7,20.0001,32.0,20
scx_mitosis,172,0.5,47668.7,20.0001,32.0,20
scx_mitosis,172,0.55,48098.1,20.0001,32.0,20
scx_mitosis,172,0.65,49817.1,20.0001,32.0,20
scx_mitosis,172,0.75,49636.2,20.0001,32.0,20
scx_mitosis,172,0.85,49098.0,20.0001,32.0,20
scx_mitosis,172,0.95,48670.5,20.0001,32.0,20
scx_mitosis,172,1.0,48832.7,20.0001,32.0,20
scx_nest,172,0.0,36176.6,20.0001,32.0,20
scx_nest,172,0.15,40777.8,20.0001,32.0,20
scx_nest,172,0.25,43555.5,20.0001,32.0,20
scx_nest,172,0.35,46119.1,20.0001,32.0,20
scx_nest,172,0.45,48162.6,20.0001,32.0,20
scx_nest,172,0.5,47408.8,20.0001,32.0,20
scx_nest,172,0.55,48024.4,20.0001,32.0,20
scx_nest,172,0.65,48889.2,20.0001,32.0,20
scx_nest,172,0.75,49154.6,20.0001,32.0,20
scx_nest,172,0.85,49715.2,20.0001,32.0,20
scx_nest,172,0.95,48668.6,20.0001,32.0,20
scx_nest,172,1.0,48820.0,20.0001,32.0,20
scx_p2dq,172,0.0,36232.3,20.0001,32.0,20
scx_p2dq,172,0.15,39639.4,20.0001,32.0,20
scx_p2dq,172,0.25,40858.1,20.0001,32.0,20
scx_p2dq,172,0.35,44885.5,20.0001,32.0,20
scx_p2dq,172,0.45,52677.4,20.002,32.0,20
scx_p2dq,172,0.5,61462.1,20.0001,32.0,20
scx_p2dq,172,0.55,63261.3,20.0001,32.0,20
scx_p2dq,172,0.65,64212.7,20.0001,32.0,20
scx_p2dq,172,0.75,48828.0,20.0001,32.0,20
scx_p2dq,172,0.85,48368.2,20.0001,32.0,20
scx_p2dq,172,0.95,48920.6,20.0001,32.0,20
scx_p2dq,172,1.0,48930.8,20.0001,32.0,20
scx_pair,172,0.0,36195.4,20.0001,32.0,20
scx_pair,172,0.15,40467.1,20.0001,32.0,20
scx_pair,172,0.25,44272.9,20.0001,32.0,20
scx_pair,172,0.35,48443.6,20.0001,32.0,20
scx_pair,172,0.45,52558.6,20.0001,32.0,20
scx_pair,172,0.5,54040.8,20.0001,32.0,20
scx_pair,172,0.55,53569.3,20.0001,32.0,20
scx_pair,172,0.65,49656.5,20.0001,32.0,20
scx_pair,172,0.75,48372.1,20.0001,32.0,20
scx_pair,172,0.85,48452.5,20.0001,32.0,20
scx_pair,172,0.95,48708.3,20.0001,32.0,20
scx_pair,172,1.0,48899.6,20.0001,32.0,20
scx_prev,172,0.0,36184.7,20.0001,32.0,20
scx_prev,172,0.15,41014.9,20.0001,32.0,20
scx_prev,172,0.25,44341.1,20.0001,32.0,20
scx_prev,172,0.35,46498.8,20.0001,32.0,20
scx_prev,172,0.45,48520.1,20.0001,32.0,20
scx_prev,172,0.5,48001.8,20.0001,32.0,20
scx_prev,172,0.55,48906.8,20.0001,32.0,20
scx_prev,172,0.65,49473.2,20.0001,32.0,20
scx_prev,172,0.75,49927.5,20.0001,32.0,20
scx_prev,172,0.85,49081.9,20.0001,32.0,20
scx_prev,172,0.95,48679.7,20.0001,32.0,20
scx_prev,172,1.0,48821.8,20.0001,32.0,20
scx_qmap,172,0.0,36233.3,20.0001,32.0,20
scx_qmap,172,0.15,40426.4,20.0001,32.0,20
scx_qmap,172,0.25,44161.3,20.0001,32.0,20
scx_qmap,172,0.35,47729.9,20.0001,32.0,20
scx_qmap,172,0.45,51771.6,20.0001,32.0,20
scx_qmap,172,0.5,52556.7,20.0001,32.0,20
scx_qmap,172,0.55,52519.5,20.0001,32.0,20
scx_qmap,172,0.65,49773.7,20.0001,32.0,20
scx_qmap,172,0.75,49119.6,20.0001,32.0,20
scx_qmap,172,0.85,48502.0,20.0001,32.0,20
scx_qmap,172,0.95,48729.2,20.0001,32.0,20
scx_qmap,172,1.0,48844.8,20.0001,32.0,20
scx_rlfifo,172,0.0,35584.9,20.0013,32.0,20
scx_rlfifo,172,0.15,39892.9,20.007,32.0,20
scx_rlfifo,172,0.25,44504.1,20.0013,32.0,20
scx_rlfifo,172,0.35,48569.8,20.0003,32.0,20
scx_rlfifo,172,0.45,53436.2,20.0005,32.0,20
scx_rlfifo,172,0.5,54478.1,20.0005,32.0,20
scx_rlfifo,172,0.55,50916.7,20.0011,32.0,20
scx_rlfifo,172,0.65,46478.5,20.0003,32.0,20
scx_rlfifo,172,0.75,44546.1,20.0001,32.0,20
scx_rlfifo,172,0.85,45281.9,20.0004,32.0,20
scx_rlfifo,172,0.95,46153.2,20.0001,32.0,20
scx_rlfifo,172,1.0,46825.9,20.0001,32.0,20
scx_rustland,172,0.0,36285.4,20.0001,32.0,20
scx_rustland,172,0.15,41111.3,20.0012,32.0,20
scx_rustland,172,0.25,45192.7,20.0004,32.0,20
scx_rustland,172,0.35,50045.2,20.0012,32.0,20
scx_rustland,172,0.45,55188.5,20.0004,32.0,20
scx_rustland,172,0.5,57829.0,20.0008,32.0,20
scx_rustland,172,0.55,59861.0,20.0002,32.0,20
scx_rustland,172,0.65,48264.6,20.0005,32.0,20
scx_rustland,172,0.75,47187.5,20.0007,32.0,20
scx_rustland,172,0.85,47598.9,20.0005,32.0,20
scx_rustland,172,0.95,48401.4,20.0001,32.0,20
scx_rustland,172,1.0,48343.2,20.0005,32.0,20
scx_rusty,172,0.0,36772.2,20.0009,32.0,20
scx_rusty,172,0.15,41744.4,20.0001,32.0,20
scx_rusty,172,0.25,45363.6,20.0006,32.0,20
scx_rusty,172,0.35,48770.4,20.0002,32.0,20
scx_rusty,172,0.45,53702.0,20.0001,32.0,20
scx_rusty,172,0.5,54297.2,20.0002,32.0,20
scx_rusty,172,0.55,54262.8,20.0001,32.0,20
scx_rusty,172,0.65,49486.1,20.0001,32.0,20
scx_rusty,172,0.75,48899.3,20.0001,32.0,20
scx_rusty,172,0.85,48874.9,20.0014,32.0,20
scx_rusty,172,0.95,49544.5,20.0031,32.0,20
scx_rusty,172,1.0,49138.6,20.0001,32.0,20
scx_sdt,172,0.0,36130.6,20.0001,32.0,20
scx_sdt,172,0.15,40958.5,20.0001,32.0,20
scx_sdt,172,0.25,44532.0,20.0001,32.0,20
scx_sdt,172,0.35,46409.2,20.0001,32.0,20
scx_sdt,172,0.45,46765.4,20.0001,32.0,20
scx_sdt,172,0.5,46596.3,20.0001,32.0,20
scx_sdt,172,0.55,48096.3,20.0001,32.0,20
scx_sdt,172,0.65,49585.8,20.0001,32.0,20
scx_sdt,172,0.75,49898.7,20.0001,32.0,20
scx_sdt,172,0.85,48573.5,20.0001,32.0,20
scx_sdt,172,0.95,47364.4,20.0104,32.0,20
scx_sdt,172,1.0,46030.4,20.0029,32.0,20
scx_simple,172,0.0,35174.2,20.0001,32.0,20
scx_simple,172,0.15,38058.5,20.0001,32.0,20
scx_simple,172,0.25,44083.8,20.0088,32.0,20
scx_simple,172,0.35,47934.3,20.0001,32.0,20
scx_simple,172,0.45,51872.1,20.0002,32.0,20
scx_simple,172,0.5,51445.0,20.0007,32.0,20
scx_simple,172,0.55,54044.5,20.0005,32.0,20
scx_simple,172,0.65,51579.6,20.002,32.0,20
scx_simple,172,0.75,49906.3,20.0008,32.0,20
scx_simple,172,0.85,49419.0,20.0012,32.0,20
scx_simple,172,0.95,48152.0,20.0035,32.0,20
scx_simple,172,1.0,47597.7,20.0037,32.0,20
scx_tickless,172,0.0,33540.5,20.0024,32.0,20
scx_tickless,172,0.15,36019.5,20.0005,32.0,20
scx_tickless,172,0.25,39208.9,20.0006,32.0,20
scx_tickless,172,0.35,40685.4,20.0006,32.0,20
scx_tickless,172,0.45,41659.6,20.0002,32.0,20
scx_tickless,172,0.5,41758.7,20.0015,32.0,20
scx_tickless,172,0.55,41931.9,20.0006,32.0,20
scx_tickless,172,0.65,41945.5,20.0015,32.0,20
scx_tickless,172,0.75,41686.7,20.0018,32.0,20
scx_tickless,172,0.85,42072.1,20.001,32.0,20
scx_tickless,172,0.95,41863.0,20.0001,32.0,20
scx_tickless,172,1.0,42175.6,20.0012,32.0,20
scx_userland,172,0.0,72296.7,20.0033,32.0,20
scx_userland,172,0.15,41975.0,20.0702,32.0,20
scx_userland,172,0.25,42353.9,22.7887,32.0,20
scx_userland,172,0.35,44537.6,49.7554,32.0,20
scx_userland,172,0.45,51252.7,20.0636,32.0,20
scx_userland,172,0.5,50233.5,20.0001,32.0,20
scx_userland,172,0.55,51626.9,20.0001,32.0,20
scx_userland,172,0.65,49262.3,20.0002,32.0,20
scx_userland,172,0.75,47457.3,20.1361,32.0,20
scx_userland,172,0.85,48336.4,20.0033,32.0,20
scx_userland,172,0.95,47680.8,20.0001,32.0,20
scx_userland,172,1.0,47341.2,38.6279,32.0,20
