scheduler,threads,read_ratio,bandwidth_mbps,execution_time,array_size_gb,duration
default,256,0.0,36633.3,10.0001,16.0,10
default,256,0.25,45698.6,10.0001,16.0,10
default,256,0.5,59057.6,10.0001,16.0,10
default,256,0.75,50167.0,10.0001,16.0,10
default,256,1.0,49523.8,10.0001,16.0,10
scx_bpfland,256,0.0,36721.1,10.0001,16.0,10
scx_bpfland,256,0.25,45942.5,10.0002,16.0,10
scx_bpfland,256,0.5,54332.0,10.0001,16.0,10
scx_bpfland,256,0.75,48613.7,10.0001,16.0,10
scx_bpfland,256,1.0,49166.2,10.0001,16.0,10
scx_flash,256,0.0,33978.0,10.0001,16.0,10
scx_flash,256,0.25,42019.5,10.0001,16.0,10
scx_flash,256,0.5,44982.6,10.0002,16.0,10
scx_flash,256,0.75,44287.0,10.0001,16.0,10
scx_flash,256,1.0,44848.1,10.0001,16.0,10
scx_flatcg,256,0.0,36623.8,10.0001,16.0,10
scx_flatcg,256,0.25,43702.0,10.0001,16.0,10
scx_flatcg,256,0.5,45383.2,10.0001,16.0,10
scx_flatcg,256,0.75,48983.8,10.0001,16.0,10
scx_flatcg,256,1.0,49524.9,10.0001,16.0,10
scx_lavd,256,0.0,36526.5,10.0001,16.0,10
scx_lavd,256,0.25,45309.8,10.0001,16.0,10
scx_lavd,256,0.5,55236.7,10.0001,16.0,10
scx_lavd,256,0.75,50142.5,10.0001,16.0,10
scx_lavd,256,1.0,49359.1,10.0001,16.0,10
scx_layered,256,0.0,36545.8,10.0001,16.0,10
scx_layered,256,0.25,43399.1,10.0001,16.0,10
scx_layered,256,0.5,45742.8,10.0001,16.0,10
scx_layered,256,0.75,48968.9,10.0001,16.0,10
scx_layered,256,1.0,49502.0,10.0001,16.0,10
scx_nest,256,0.0,36659.6,10.0001,16.0,10
scx_nest,256,0.25,44019.3,10.0001,16.0,10
scx_nest,256,0.5,46307.8,10.0001,16.0,10
scx_nest,256,0.75,49218.8,10.0001,16.0,10
scx_nest,256,1.0,49359.4,10.0001,16.0,10
scx_p2dq,256,0.0,36780.6,10.0001,16.0,10
scx_p2dq,256,0.25,47269.5,10.0001,16.0,10
scx_p2dq,256,0.5,57180.4,10.0001,16.0,10
scx_p2dq,256,0.75,50404.9,10.0001,16.0,10
scx_p2dq,256,1.0,49812.7,10.0001,16.0,10
scx_rustland,256,0.0,36890.4,10.0015,16.0,10
scx_rustland,256,0.25,46856.6,10.0001,16.0,10
scx_rustland,256,0.5,60137.8,10.0004,16.0,10
scx_rustland,256,0.75,49851.0,10.0019,16.0,10
scx_rustland,256,1.0,50153.6,10.0016,16.0,10
scx_rusty,256,0.0,36630.2,10.0001,16.0,10
scx_rusty,256,0.25,48127.7,10.0002,16.0,10
scx_rusty,256,0.5,53814.1,10.0057,16.0,10
scx_rusty,256,0.75,51266.1,10.0006,16.0,10
scx_rusty,256,1.0,50273.1,10.0001,16.0,10
scx_simple,256,0.0,36679.1,10.0001,16.0,10
scx_simple,256,0.25,42371.3,10.0001,16.0,10
scx_simple,256,0.5,45643.3,10.0001,16.0,10
scx_simple,256,0.75,49357.2,10.0001,16.0,10
scx_simple,256,1.0,49382.4,10.0001,16.0,10
