buffer_size_gb,buffer_size_bytes,threads,read_ratio,duration,app_total_bandwidth_mbps,app_read_bandwidth_mbps,app_write_bandwidth_mbps,app_total_iops,app_execution_time,perf_cache_references_bandwidth_mbps,perf_cache_misses_bandwidth_mbps,perf_dram_read_bandwidth_mbps,perf_dram_write_bandwidth_mbps,perf_mem_loads_bandwidth_mbps,perf_mem_stores_bandwidth_mbps,perf_offcore_data_read_bandwidth_mbps,perf_offcore_rfo_bandwidth_mbps,perf_cache_miss_rate_pct,perf_l3_hit_rate_pct,perf_l3_miss_rate_pct,perf_instructions_per_cycle,status
1.0,1073741824,4,0.0,20,14300.8,0.0,14300.8,3661000.0,20.0001,13788.569317232777,11623.290210602396,0,0,5202.567873644605,2129.021674672352,78.57468231892884,13707.29687561269,84.29656437289515,63.21867954766758,36.78132045233242,0.02501528606700439,success
1.0,1073741824,4,0.15,20,14991.1,0.0,14991.1,3837720.0,20.0001,14457.440027947447,11337.704963959537,0,0,5386.063622365121,2188.365842618309,80.01584832939324,14375.617512301631,78.42124845092077,57.94721542632889,42.05278457367111,0.0259051200053708,success
1.0,1073741824,4,0.25,20,16006.5,5060.82,10945.7,4097670.0,20.0001,15439.651514608124,12659.017229347211,0,0,5610.215700787952,2247.1177918043736,4889.432540468232,10548.915943676519,81.9903041034959,27.745334407084805,72.2546655929152,0.02693847984123561,success
1.0,1073741824,4,0.35,20,18531.7,5803.63,12728.0,4744100.0,20.0001,17866.869950418597,14431.134429849524,0,0,6279.893005664207,2450.020753733271,5624.065747015661,12270.366072175231,80.77035580320782,27.38393532200181,72.6160646779982,0.029909604671095182,success
1.0,1073741824,4,0.45,20,16286.0,5082.1,11203.9,4169220.0,20.0001,15724.1617134537,12495.96096342937,0,0,5706.953165040536,2284.764665495236,4913.0436199202495,10797.44468981163,79.46980698333661,27.81473927343062,72.18526072656938,0.02732346823966047,success
1.0,1073741824,4,0.5,20,20404.6,11297.8,9106.88,5223590.0,20.0001,19860.667884427196,15648.321822188831,0,0,6733.024254144444,2574.1953833138496,11078.773154542605,8765.944065153193,78.79051154396838,7.667858020884438,92.33214197911556,0.032318388551059826,success
1.0,1073741824,4,0.55,20,22456.6,12049.0,10407.6,5748880.0,20.0001,21805.21929968852,15004.481808404078,0,0,7232.812111215758,2728.7478356183037,11781.269812557483,10004.070209533898,68.81142355040846,9.830849480467482,90.16915051953251,0.034548548197874,success
1.0,1073741824,4,0.65,20,21149.2,11709.0,9440.26,5414210.0,20.0001,20569.185457049403,16147.07424222984,0,0,6907.660565085145,2633.332651882803,11465.296649786922,9092.066630254674,78.50128181277091,7.155020255486318,92.84497974451368,0.03284162343481298,success
1.0,1073741824,4,0.75,20,24432.3,19812.7,4619.6,6254670.0,20.0001,23492.381726400126,16547.01378058687,0,0,7720.4808008975315,2867.0392978593745,19012.701624946512,4452.555388942365,70.43565856071446,29.34703546863083,70.65296453136918,0.03718193749086319,success
1.0,1073741824,4,0.85,20,24541.3,19932.7,4608.61,6282580.0,20.0001,23654.49306404867,16652.22114045206,0,0,7776.830257345541,2886.6966399650814,19176.108922605057,4451.797277584151,70.3977087793142,29.53015562049221,70.46984437950779,0.036949499862560214,success
