buffer_size_gb,buffer_size_bytes,threads,read_ratio,duration,app_total_bandwidth_mbps,app_read_bandwidth_mbps,app_write_bandwidth_mbps,app_total_iops,app_execution_time,perf_cache_references_bandwidth_mbps,perf_cache_misses_bandwidth_mbps,perf_dram_read_bandwidth_mbps,perf_dram_write_bandwidth_mbps,perf_mem_loads_bandwidth_mbps,perf_mem_stores_bandwidth_mbps,perf_offcore_data_read_bandwidth_mbps,perf_offcore_rfo_bandwidth_mbps,perf_cache_miss_rate_pct,perf_l3_hit_rate_pct,perf_l3_miss_rate_pct,perf_instructions_per_cycle,status
1.0,1073741824,4,0.0,20,15511.2,0.0,15511.2,3970870.0,20.0001,15137.64464401368,12588.61197123471,0,0,8204.541793984614,4454.322358514927,303.36393419576655,14825.104148460685,83.16096900988485,60.675188944318826,39.324811055681174,0.04888406809930176,success
1.0,1073741824,4,0.15,20,15482.0,0.0,15482.0,3963390.0,20.0001,15122.13591761644,12513.539793247975,0,0,8237.858974541303,4489.3615821343365,307.00948259253244,14809.719866826452,82.74981696646705,57.977625114323885,42.022374885676115,0.04917889947375787,success
1.0,1073741824,4,0.25,20,17352.3,5248.69,12103.6,4442190.0,20.0001,17025.46657758474,14215.315212120742,0,0,9048.084335292398,4898.365722662071,5405.744364106707,11638.592065906314,83.49442376419942,31.38249322329133,68.61750677670867,0.05384123560882059,success
1.0,1073741824,4,0.35,20,16370.4,4920.55,11449.9,4190830.0,20.0002,16077.952060374135,13379.403867265646,0,0,8610.781233042759,4671.1581736266935,5069.5697637107,11012.687583735798,83.21584625345815,31.006154446116817,68.99384555388318,0.051497231775640424,success
1.0,1073741824,4,0.45,20,16038.2,4733.17,11305.0,4105770.0,20.0001,15739.649789833047,13138.782032009052,0,0,8468.60390041404,4604.430094850551,4877.510405600197,10859.113583312947,83.47569486899249,31.15012987458582,68.84987012541418,0.05138976097588079,success
1.0,1073741824,4,0.5,20,23265.4,12943.5,10321.9,5955940.0,20.0001,22921.70312772613,19037.624983184094,0,0,11522.7279471405,6159.363045914917,12979.457891683485,9921.438714293074,83.05501941588342,25.307729376402865,74.69227062359714,0.06994929521041468,success
1.0,1073741824,4,0.55,20,23713.8,13066.3,10647.5,6070740.0,20.0001,23360.734545487256,19221.507816510206,0,0,11704.58829880689,6257.079293530894,13106.917077139353,10234.12485646231,82.28126465408319,29.614593707164033,70.38540629283597,0.07015205920170231,success
1.0,1073741824,4,0.65,20,23526.5,12890.7,10635.8,6022790.0,20.0001,23141.250722643086,19047.241827728954,0,0,11614.699557910613,6199.762447754324,12913.276720131778,10204.978156876901,82.3086100920714,29.43868949100046,70.56131050899954,0.06952926910341958,success
1.0,1073741824,4,0.75,20,25336.6,19771.7,5564.93,6486170.0,20.0001,25074.396148687658,20819.622691462948,0,0,12410.768539813847,6611.405321926353,19678.60794477043,5366.44141234779,83.03140210438369,23.25870818081083,76.74129181918917,0.07491429215076338,success
1.0,1073741824,4,0.85,20,25288.3,19742.5,5545.83,6473800.0,20.0001,24992.905586396082,20586.66826264993,0,0,12373.4316567778,6605.466868726516,19617.426938788158,5339.490067798331,82.37004773808886,28.69992854427737,71.30007145572263,0.07452509194249804,success
1.0,1073741824,4,0.95,20,25092.3,19551.6,5540.62,6423620.0,20.0001,24835.972854790478,20439.67932750835,0,0,12308.597768119547,6555.823294092195,19460.48142846747,5342.5723388279475,82.29868605113188,28.71675053679379,71.2832494632062,0.07451664794624872,success
1.0,1073741824,4,1.0,20,26703.9,26703.9,0.0,6836190.0,20.0001,26473.21650760072,21798.65009734463,0,0,12988.845794468789,6906.63336578448,26346.91447475282,89.23668733287901,82.34228013466375,28.274181232437527,71.72581876756247,0.07802993947485702,success
1.0,1073741824,16,0.0,20,68792.3,0.0,68792.3,17610800.0,20.0001,67574.74977192475,54507.306999209315,0,0,32085.499661660964,16811.228731510946,1461.4773028805832,66117.218237725,80.6622402349693,58.58347749488922,41.41652250511077,0.048390182946471426,success
1.0,1073741824,16,0.15,20,70974.0,11416.9,59557.0,18169300.0,20.0001,69790.8967890622,57407.918475914805,0,0,32957.944732245305,17253.701603963455,12542.861666264687,57243.32384946243,82.25702937938449,31.558031107530272,68.44196889246973,0.04985324544600739,success
1.0,1073741824,16,0.25,20,80692.5,24988.1,55704.4,20657300.0,20.0001,79610.67575498528,65480.10050800624,0,0,37174.755688933554,19407.48110976283,25942.806027614428,53608.155325307416,82.25040157871769,26.269125973880865,73.73087402611914,0.05615805006303385,success
1.0,1073741824,16,0.35,20,81061.0,30655.3,50405.7,20751600.0,20.0001,79993.20889585893,65795.64513408743,0,0,37295.04056054553,19488.933378099213,31448.860755258713,48492.668363194556,82.25153865216866,24.972472953787666,75.02752704621234,0.05651976151458842,success
1.0,1073741824,16,0.45,20,85894.4,43724.4,42170.1,21989000.0,20.0001,84993.0436784001,69900.22457624276,0,0,39404.32820782691,20550.97487194337,44257.92293475899,40620.06796834607,82.2422889580633,23.908549409388012,76.09145059061198,0.05948101555809064,success
1.0,1073741824,16,0.5,20,88193.1,50259.5,37933.6,22577400.0,20.0001,87394.44825983021,71859.1487865661,0,0,40395.43441110289,21062.581054749764,50685.885208784035,36584.97071669531,82.22392865611266,23.65815189088221,76.34184810911779,0.061253423595266754,success
