buffer_size_gb,buffer_size_bytes,threads,read_ratio,duration,app_total_bandwidth_mbps,app_read_bandwidth_mbps,app_write_bandwidth_mbps,app_total_iops,app_execution_time,perf_cache_references_bandwidth_mbps,perf_cache_misses_bandwidth_mbps,perf_dram_read_bandwidth_mbps,perf_dram_write_bandwidth_mbps,perf_mem_loads_bandwidth_mbps,perf_mem_stores_bandwidth_mbps,perf_offcore_data_read_bandwidth_mbps,perf_offcore_rfo_bandwidth_mbps,perf_cache_miss_rate_pct,perf_l3_hit_rate_pct,perf_l3_miss_rate_pct,perf_instructions_per_cycle,status
1.0,1073741824,4,0.0,20,7519.93,0.0,7519.93,1925100.0,20.0001,7483.618113135363,4594.16797202834,0,0,3411.453202220468,1594.6200959804805,37.601242766804496,7444.766905038175,61.38966342983997,35.18654356737049,64.81345643262951,0.017424023419453726,success
1.0,1073741824,4,0.15,20,6883.64,0.0,6883.64,1762210.0,20.0001,6834.17103706912,4255.337743439997,0,0,3244.799806554234,1551.3682208218215,33.059130556997516,6810.933671826725,62.26560208046721,25.98684806835149,74.01315193164851,0.016499373820913897,success
1.0,1073741824,4,0.25,20,7930.54,1982.63,5947.9,2030220.0,20.0001,9466.180385892387,5577.27976438877,0,0,3507.3384682066935,1616.8913084022677,3519.2992750101653,5939.052467925334,58.91795356763628,6.45358316745262,93.54641683254738,0.01787220704621776,success
1.0,1073741824,4,0.35,20,7889.96,1972.49,5917.47,2019830.0,20.0001,9444.034746548603,5483.111857367154,0,0,3521.757506154517,1635.76422788502,3486.572820775961,5948.436490073241,58.05899707612787,6.359677477978851,93.64032252202115,0.01765829555690492,success
1.0,1073741824,4,0.45,20,7838.78,1959.69,5879.08,2006730.0,20.0001,9439.227386580771,5550.911652952239,0,0,3491.7511453143247,1612.1394334243796,3533.537832482547,5896.662503483168,58.80684324697659,3.2777495799848912,96.72225042001511,0.017715176871314884,success
1.0,1073741824,4,0.5,20,11572.7,5786.36,5786.36,2962610.0,20.0001,15972.233418425089,9103.42457522128,0,0,4420.480562115549,1892.2067862503607,10130.272478330424,5820.354905738774,56.99531390969933,5.323467091957289,94.67653290804272,0.021877520385778046,success
1.0,1073741824,4,0.55,20,11314.9,5657.43,5657.43,2896600.0,20.0001,15560.053032029291,8865.661544824472,0,0,4369.414000999423,1888.7148773364913,9860.037451233635,5680.452259901144,56.9770650946698,4.745035223422598,95.2549647765774,0.02204432557173761,success
1.0,1073741824,4,0.65,20,11180.5,5590.25,5590.25,2862210.0,20.0001,15456.73029901834,8811.212930767717,0,0,4300.654188139943,1846.3691687087944,9820.891023372911,5614.665832038244,57.00567170617785,4.910529787468781,95.08947021253121,0.02154126327853763,success
1.0,1073741824,4,0.75,20,16469.2,13555.9,2913.26,4216110.0,20.0001,15561.569276157245,10410.78530350822,0,0,5614.320962455828,2238.6439283906225,12764.655058359407,2780.052843571645,66.90061341987644,44.653743442980115,55.34625655701989,0.027500577352928126,success
1.0,1073741824,4,0.85,20,16538.0,13637.6,2900.5,4233740.0,20.0001,15691.52645896849,10464.145344601198,0,0,5656.323928495032,2255.103672745131,12900.197330830179,2776.353566262108,66.68659911426538,45.14282397022964,54.85717602977035,0.02757575755605112,success
1.0,1073741824,4,0.95,20,16490.4,13591.4,2898.96,4221530.0,20.0001,15665.024424868734,10486.666436797266,0,0,5628.80177555685,2244.3697625981217,12870.405000467379,2775.4900603693754,66.94318599433106,44.63141248231789,55.36858751768211,0.0274589280589211,success
1.0,1073741824,4,1.0,20,16877.9,16877.9,0.0,4320740.0,20.0001,15951.071459916404,9782.183573443252,0,0,5735.268401935145,2280.5217828558434,15867.44962166595,69.09581538549895,61.32618487745473,40.62260863325701,59.377391366742984,0.028099668618813037,success
1.0,1073741824,16,0.0,20,23210.9,0.0,23210.9,5942000.0,20.0001,23296.516021846503,12290.05787664088,0,0,8334.907623184325,3381.978226760752,104.33887138859512,23181.1743026739,52.75491779593041,17.051944691779262,82.94805530822073,0.010343444115302096,success
1.0,1073741824,16,0.15,20,26042.0,3255.25,22786.8,6666760.0,20.0001,29524.294682459036,15553.30486294579,0,0,9052.553509477299,3591.1402396296508,6669.421312252488,22846.81940077095,52.67968305500729,1.9395629380774684,98.06043706192253,0.011187584856259187,success
1.0,1073741824,16,0.25,20,25271.3,6701.83,18569.5,6469460.0,20.0002,31670.110758893486,16569.365495831535,0,0,8920.092255736565,3571.364747927564,13026.383096280473,18623.63297497331,52.31862187655465,42.561687232663445,57.438312767336555,0.011021254462527344,success
1.0,1073741824,16,0.35,20,22788.4,7262.18,15526.3,5833840.0,20.0001,31543.54882717816,16377.74480732153,0,0,8290.26669620134,3374.7198947514944,15898.805295174723,15629.618015951273,51.92105966596359,43.805610611499965,56.194389388500035,0.010280780731691516,success
1.0,1073741824,16,0.45,20,35080.2,18227.6,16852.6,8980530.0,20.0001,44984.18728834975,23834.897218879403,0,0,11290.207755205181,4242.972372425735,28024.30579308994,16937.98639913422,52.98505687364569,36.842661105098,63.157338894902004,0.013767133290192496,success
1.0,1073741824,16,0.5,20,56353.3,36807.4,19545.8,14426400.0,20.0001,60442.98570026981,32399.355109617376,0,0,16591.62271955748,5824.330490315043,40677.059031167,19686.632726064916,53.60316790153659,46.71017267480018,53.28982732519982,0.01999393371646641,success
1.0,1073741824,16,0.55,20,68066.6,46816.2,21250.4,17425100.0,20.0001,66164.45289003637,36647.95399853237,0,0,19427.9781966847,6645.532092410647,44917.97714662093,21169.72842925771,55.38918920623487,39.13405445856527,60.865945541434726,0.023329417272081956,success
1.0,1073741824,16,0.65,20,76356.7,61126.1,15230.7,19547300.0,20.0001,73393.08268780682,39224.1941355938,0,0,21536.937777885305,7281.241867696019,58011.16311701978,15341.059907455317,53.44399321996367,48.201766611540656,51.798233388459344,0.02566480384673065,success
1.0,1073741824,16,0.75,20,85458.7,75479.0,9979.71,21877400.0,20.0001,81205.80460186096,43263.396241608294,0,0,23742.481899692822,7920.3794073207255,71061.96654588044,10052.259204273481,53.27623616774908,41.87174619858554,58.12825380141445,0.02815773921896905,success
1.0,1073741824,16,0.85,20,90143.8,82724.9,7418.89,23076800.0,20.0001,85471.77734906519,45374.34305432484,0,0,24889.093145255203,8250.283141847469,77862.1809094431,7496.08877733293,53.08693051861651,42.409391652582215,57.590608347417785,0.02945740340459802,success
