buffer_size_gb,buffer_size_bytes,threads,read_ratio,duration,app_total_bandwidth_mbps,app_read_bandwidth_mbps,app_write_bandwidth_mbps,app_total_iops,app_execution_time,perf_cache_references_bandwidth_mbps,perf_cache_misses_bandwidth_mbps,perf_dram_read_bandwidth_mbps,perf_dram_write_bandwidth_mbps,perf_mem_loads_bandwidth_mbps,perf_mem_stores_bandwidth_mbps,perf_offcore_data_read_bandwidth_mbps,perf_offcore_rfo_bandwidth_mbps,perf_cache_miss_rate_pct,perf_l3_hit_rate_pct,perf_l3_miss_rate_pct,perf_instructions_per_cycle,status
1.0,1073741824,4,0.0,20,12686.7,0.0,12686.7,3247780.0,20.0001,12364.049859861401,12332.984043157709,0,0,6952.465466176973,3809.7223311068688,252.8996179290149,12109.622840160611,99.74874076814795,52.90771464304142,47.09228535695857,0.04134370452919959,success
1.0,1073741824,4,0.15,20,12720.3,0.0,12720.3,3256410.0,20.0001,12532.930225866283,12501.00772291944,0,0,7036.045378309423,3846.7493373031475,255.71600424053105,12271.996438150445,99.74529098645296,45.82309211989809,54.17690788010191,0.04168115684514525,success
1.0,1073741824,4,0.25,20,13108.5,3759.31,9349.16,3355770.0,20.0002,12956.42146607766,12923.13264217061,0,0,7191.61409515403,3931.998209706734,3910.0129566848123,9044.74940474874,99.74307084719185,12.052808257554224,87.94719174244577,0.04263724964176214,success
1.0,1073741824,4,0.35,20,13642.1,3862.83,9779.31,3492390.0,20.0001,13475.458266531869,13442.351291414365,0,0,7412.7061989709255,4048.7500000292644,4022.644896209151,9466.300900738013,99.75431651775637,11.226088359136153,88.77391164086384,0.044212357588379665,success
1.0,1073741824,4,0.45,20,16047.2,4613.21,11434.0,4108080.0,20.0001,15718.702860446949,15686.003177041212,0,0,8386.221015971661,4540.933770199629,4754.329555214305,10970.595999706456,99.79196958110316,11.372273861940132,88.62772613805987,0.050087318066431595,success
1.0,1073741824,4,0.5,20,19569.2,10758.6,8810.6,5009700.0,20.0001,19418.32208297771,19380.93998479913,0,0,9972.862243654992,5351.005972830365,10869.890178905029,8528.359948948082,99.80749058534079,5.348564958605307,94.65143504139469,0.05974636825244522,success
1.0,1073741824,4,0.55,20,19181.3,10559.1,8622.13,4910400.0,20.0001,19020.277219669388,18984.32817589541,0,0,9793.906434157409,5262.45907792252,10660.968206156433,8340.865609836736,99.81099621546629,5.061338367321939,94.93866163267806,0.05854639000175615,success
1.0,1073741824,4,0.65,20,19485.6,10688.1,8797.5,4988310.0,20.0001,19322.51228457667,19286.911741985372,0,0,9925.690110993928,5322.56469052745,10792.712741991041,8510.17173313835,99.81575613943475,5.178194060145041,94.82180593985497,0.05911671769471565,success
1.0,1073741824,4,0.75,20,20692.9,16031.1,4661.81,5297390.0,20.0001,20596.821430440843,20563.37946842532,0,0,10437.672339878365,5597.078183146026,16043.540497970625,4521.891406116992,99.83763532577848,3.5361513299031837,96.46384867009682,0.06364090391616242,success
1.0,1073741824,4,0.85,20,20700.0,15999.9,4700.18,5299210.0,20.0001,20609.24343991183,20574.515496172866,0,0,10447.63304297627,5590.213124544925,16018.11408662431,4560.278747439901,99.83149335956841,3.4913757156611864,96.50862428433882,0.0632633342482618,success
1.0,1073741824,4,0.95,20,20687.2,15995.7,4691.5,5295930.0,20.0001,20595.28353422697,20557.996139278886,0,0,10441.714811570731,5587.900406901133,16012.769226540677,4552.064998132977,99.81895177657489,3.572261017152916,96.42773898284709,0.0626932426516252,success
1.0,1073741824,4,1.0,20,21675.7,21675.7,0.0,5548980.0,20.0001,21664.606245298633,21627.483745394682,0,0,10872.431824802741,5806.599118687918,21554.634478438762,81.33975490519246,99.82864909020903,2.8596907769912843,97.14030922300871,0.06599174184297021,success
1.0,1073741824,16,0.0,20,50702.5,0.0,50702.5,12979800.0,20.0001,50000.97192085123,49900.06686384775,0,0,24399.529446021053,12845.672380340167,1072.1646369603832,48936.57998085367,99.79819380878592,42.68478440120509,57.31521559879491,0.0365742012994602,success
1.0,1073741824,16,0.15,20,58005.5,8730.74,49274.8,14849400.0,20.0001,56943.24351113708,56825.81457704203,0,0,27344.608898060393,14356.552562130548,9651.705727208519,47294.988261069084,99.79377898613717,17.732194457285477,82.26780554271453,0.04138778156318416,success
1.0,1073741824,16,0.25,20,55972.7,16260.3,39712.4,14329000.0,20.0001,55566.871123951336,55455.53318589511,0,0,26721.550060587142,14044.22844654497,17080.201740168188,38446.866253721266,99.79963252239294,9.829228988933638,90.17077101106636,0.04027376820913562,success
1.0,1073741824,16,0.35,20,63783.5,23313.2,40470.2,16328600.0,20.0001,63356.27774975789,63242.44039993178,0,0,30032.85601892914,15745.560322548201,24112.071722465273,39184.20661606777,99.8203219098891,7.796949763691457,92.20305023630854,0.04512608051481917,success
1.0,1073741824,16,0.45,20,66509.9,32802.3,33707.6,17026500.0,20.0001,66197.52474517966,66082.24602796044,0,0,31211.547709805174,16351.251652277479,33453.9001889307,32658.973862862025,99.82585645360159,5.723411167663264,94.27658883233674,0.04708121820973551,success
1.0,1073741824,16,0.5,20,68248.8,38151.9,30096.9,17471700.0,20.0001,67996.80917152569,67871.77597215606,0,0,31966.695222610553,16738.176493101568,38723.27516510013,29170.60899863051,99.81611901956423,5.441393215423377,94.55860678457663,0.04802792559837235,success
1.0,1073741824,16,0.55,20,68319.6,38336.5,29983.1,17489800.0,20.0002,68086.2330182825,67967.95280570151,0,0,32003.04254960296,16745.154161612216,38913.53731981187,29071.59105073369,99.82627881241541,5.105371769575322,94.89462823042469,0.04817335884982744,success
1.0,1073741824,16,0.65,20,70256.9,47490.9,22765.9,17985800.0,20.0001,69574.75907620492,69447.076116634,0,0,32563.13779842095,17039.359608712763,47529.36633842015,21926.28535529527,99.8164809174099,5.017284631272313,94.98271536872768,0.04940325593916697,success
1.0,1073741824,16,0.75,20,74944.7,59162.4,15782.2,19185800.0,20.0001,74914.6998963801,74796.40685433228,0,0,34780.95589541774,18175.299450539616,59385.25310861501,15366.529464824398,99.84209635463877,3.4096472318707978,96.59035276812921,0.0525083959092245,success
1.0,1073741824,16,0.85,20,76876.5,65041.4,11835.1,19680400.0,20.0001,76953.9525142322,76832.95169009817,0,0,35663.31795923537,18627.01889674262,65213.63755944941,11564.50942149249,99.84276204121986,3.2154979001463286,96.78450209985368,0.05380984573184148,success
1.0,1073741824,16,0.95,20,80935.3,76631.0,4304.27,20719400.0,20.0001,81156.88398477162,81035.04948054919,0,0,37371.52251022113,19500.385174821273,76644.95195390227,4304.837194352794,99.84987779441448,2.8248929078330036,97.175107092167,0.05656619109663294,success
1.0,1073741824,16,1.0,20,83117.3,83117.3,0.0,21278000.0,20.0001,83326.72438980037,83194.40191340781,0,0,38274.470899330445,19965.079695017517,82912.19583602753,207.33087203089386,99.84120043436059,2.9124533188531254,97.08754668114688,0.057938782867749214,success
1.0,1073741824,64,0.0,20,219548.0,0.0,219548.0,56204400.0,20.0004,6282.570021702718,5972.538736777777,0,0,100047.82060444135,51939.17455717075,4431.502271179478,210540.44848371684,95.06521560676669,36.90329019931451,63.09670980068549,0.05614318544304118,success
1.0,1073741824,64,0.15,20,206433.0,7146.28,199287.0,52846800.0,20.0002,12942.8027440925,12592.433992367922,0,0,94356.6426902303,48983.05411681509,11045.77197223406,191835.21409445597,97.29294528664205,25.565472546431334,74.43452745356866,0.05284122754655994,success
1.0,1073741824,64,0.25,20,202315.0,20527.0,181788.0,51792500.0,20.0002,25669.261984259516,25287.39413770392,0,0,92504.79101773215,48017.28906438919,23926.92172974962,175348.70532880115,98.51235362049069,16.237680485177194,83.7623195148228,0.05178118924189771,success
1.0,1073741824,64,0.35,20,200923.0,27696.4,173226.0,51436200.0,20.0002,32521.046770221434,32020.685612319918,0,0,91880.41391845763,47684.108697299554,30564.006133066945,168165.5586925906,98.46142357767006,11.653708523501493,88.34629147649851,0.05121118369719423,success
1.0,1073741824,64,0.45,20,199606.0,37927.7,161678.0,51099200.0,20.0002,42394.42000175724,41820.635594662126,0,0,91321.39142038488,47355.3069332553,40435.507007446526,157885.111418639,98.6465567707464,9.27431309754854,90.72568690245146,0.05077325858124151,success
1.0,1073741824,64,0.5,20,198096.0,47911.9,150185.0,50712700.0,20.0002,51869.37798334067,51274.5767184883,0,0,90621.02044166632,46986.50755398792,49926.98195540364,147052.94354347017,98.8532708739183,8.253839276920532,91.74616072307947,0.0503973086968199,success
1.0,1073741824,64,0.55,20,197067.0,52952.5,144115.0,50449100.0,20.0001,56830.26188444047,56266.66988266287,0,0,90279.90564083509,46830.506164080696,54886.640758842164,141125.136154248,99.00828892373642,6.774669874722791,93.22533012527721,0.05018819216507639,success
1.0,1073741824,64,0.65,20,192541.0,74711.1,117830.0,49290500.0,20.0001,77831.66269986743,76920.35020287098,0,0,88166.06379420447,45652.86913071412,74572.39465515706,118761.16894284854,98.82912369415692,6.0986247861154075,93.90137521388459,0.048947084187382396,success
1.0,1073741824,64,0.75,20,187621.0,109559.0,78061.9,48031100.0,20.0002,111561.14308321898,111307.52969635406,0,0,86059.93369882979,44797.38881094707,110460.14884739171,76102.92343824418,99.7726687089646,4.867384345707461,95.13261565429254,0.04811074094160876,success
1.0,1073741824,64,0.85,20,186526.0,141176.0,45350.2,47750600.0,20.0001,142229.33468821307,141980.308842594,0,0,85841.23202291533,44671.48534763002,142019.51598007078,43190.04553056076,99.82491245834416,4.265635182219388,95.73436481778062,0.04809365787712357,success
1.0,1073741824,64,0.95,20,189504.0,173017.0,16486.7,48513000.0,20.0001,173441.4765562008,173005.59969531404,0,0,86929.63667325256,45174.70755854108,172280.83659423795,16785.05756365837,99.74868937376377,3.517278059121577,96.48272194087842,0.04866703671014817,success
1.0,1073741824,64,1.0,20,198558.0,198558.0,0.0,50831000.0,20.0001,198048.14607849307,197719.8176640172,0,0,90824.64989674682,47197.625393930626,197498.85335570795,369.8988335800174,99.8342178803604,3.1379800811184624,96.86201991888154,0.05095098428504619,success
1.0,1073741824,172,0.0,20,218404.0,0.0,218404.0,55911300.0,20.0003,5173.172691655348,4858.007306442531,0,0,99792.47961689181,51791.03212523572,4118.834980760872,208464.13456912414,93.9076964176897,37.08850013667165,62.91149986332836,0.05609988636871972,success
